date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name
10/22/2015,fi,120,36798,4WykP5Z0vPqC7M1NC9jC8C,['Anssi Kela'],"['finnish dance pop', 'finnish hip hop', 'suomi rock', 'finnish pop', 'iskelma']",270080,FALSE,Puistossa
7/2/2020,gb,105,433780,43CHdbHYdcbUWP10UFKyZ7,['Dermot Kennedy'],"['irish pop', 'pop', 'uk pop', 'folk-pop']",177173,FALSE,Giants
8/4/2022,hk,158,26289,0KqKR7cBtUD6I38784Ul3u,['Zpecial'],"['hk-pop', 'hong kong indie', 'cantopop']",211216,FALSE,完全無關的事
6/21/2018,cz,72,21778,5koLxbDeKIPzLVnjDvUCaV,"['Nik Tendo', 'Decky', 'Viktor Sheen']","['czech hip hop', 'czsk hip hop', 'czech drill']",183428,FALSE,Nevolej mi
6/18/2015,se,181,83097,74ZKI4v8G20Ao1gWYyos1V,['David Pagmar'],[],248973,FALSE,Paraply
5/2/2019,de,150,462718,1jGWD9XXtRm9WZfsZiaqyp,['METRICKZ'],"['german pop', 'deep german hip hop', 'german alternative rap', 'german hip hop']",185186,TRUE,Wald
8/17/2017,gt,142,9606,08PHbleBCzVQqiHeLi3631,['Alex Zurdo'],"['latin christian', 'reggaeton cristiano', 'rap cristiano']",264800,FALSE,Sin Ti
1/20/2022,th,80,96099,5vSNZkeesxul81fmuuZd2n,['นนน กรภัทร์'],['thai idol'],233571,FALSE,เพลงที่เพิ่งเขียนจบ (OUR SONG) - เพลงประกอบซีรีส์ แค่เพื่อนครับเพื่อน BAD BUDDY SERIES
12/16/2021,it,7,1785216,3PHUQDyGYZhRJFSwbTXnsG,['Guè'],['italian hip hop'],145433,TRUE,La G La U La E pt.2
5/2/2019,lv,162,4842,1yYnT37zbmhaH6q3dVud0w,['ScHoolboy Q'],"['rap', 'trap', 'gangster rap', 'pop rap', 'underground hip hop', 'hip hop', 'southern hip hop']",201040,TRUE,Attention
2/11/2016,pl,76,29300,7xaY1srsqteTaRA7Rl8yy7,['Moderat'],"['microhouse', 'minimal techno', 'electronica']",234080,FALSE,Reminder
7/14/2022,fr,167,334708,5hgcfNLhMD81mx1DTJVeXp,"['Mig', ""Heuss L'enfoiré""]","['rap francais', 'pop urbaine', 'francoton', 'french hip hop']",203067,TRUE,Les frères
7/9/2015,br,261,6694,3qrFtNPUhRwLHBas2rHXtj,"['Munhoz & Mariano', 'João Neto & Frederico']","['sertanejo', 'sertanejo pop', 'sertanejo universitario']",197773,FALSE,Balada Louca [feat. João Neto & Frederico] - Ao Vivo
2/27/2020,se,13,621409,2y8AsD76fBMipxfs2cxdXV,"['Z.E', 'S.T']","['swedish trap', 'swedish gangsta rap', 'swedish trap pop', 'swedish drill', 'swedish hip hop']",139805,TRUE,FLYT
9/13/2018,it,48,550082,1ex3YwDpPLF2JeA8ZgPBto,['Zoda'],['italian hip hop'],200777,TRUE,Balla
4/2/2020,hu,150,19029,4CufDREo1dO9TL7txA5SGA,['5 Seconds of Summer'],"['post-teen pop', 'dance pop', 'pop', 'boy band']",206973,FALSE,Lover Of Mine
11/26/2020,us,126,1919244,3yhhv0VCmKkAWD9ysDLpTE,['Megan Thee Stallion'],"['dance pop', 'trap queen', 'houston rap', 'rap', 'pop']",170870,TRUE,Shots Fired
5/21/2020,jp,99,168317,7gFOVCXR5mrSkv1O3n7GXu,['RADWIMPS'],"['japanese emo', 'visual kei', 'j-pop', 'j-rock']",250840,FALSE,有心論
